position,name,sofascore_name,id,season,matches,minutes,goals,assists,General_ASR,total_shots,shots_on_target,big_chances_missed,key_passes,big_chances_created,dribbles,accurate_passes,Passing_APS%,accurate_long_balls,Passing_LBA%,accurate_crosses,Passing_CA%,clean_sheets,yellow_cards,red_cards,errors_leading_to_goal,dribbled_past,tackles,interceptions,blocked_shots,aerial_duels_won,xGoals,xAssists,goal_involvements,expected_goal_involvements,clean_sheets,goals_conceded,saves,prct_saves,penalties_saved,Goalkeeping_PS%
Midfielder,Dani Parejo,dani-parejo,39182,24/25,34,2232,3.0,3.0,,13.0,4.0,1.0,21.0,2.0,8.0,1349.0,89.3,95.0,66.9,13.0,36.1,1.0,6.0,0.0,0.0,23.0,53.0,23.0,3.0,22.0,2.42,1.82,6.0,4.23,,,,,,
Forward,Nicolas Pépé,nicolas-pepe,593526,23/24,20,1149,6.0,2.0,,26.0,13.0,0.0,17.0,2.0,20.0,405.0,86.5,8.0,66.7,3.0,15.0,1.0,0.0,0.0,0.0,10.0,10.0,6.0,6.0,7.0,2.97,1.67,8.0,4.64,,,,,,
Forward,Nicolas Pépé,nicolas-pepe,593526,24/25,24,1221,2.0,5.0,,34.0,16.0,4.0,26.0,8.0,22.0,405.0,82.7,12.0,70.6,11.0,28.2,1.0,3.0,0.0,0.0,7.0,18.0,5.0,8.0,15.0,3.39,3.62,7.0,7.0,,,,,,
Defender,Eric Bailly,eric-bailly,606346,23/24,20,1515,0.0,0.0,,3.0,0.0,1.0,0.0,0.0,11.0,700.0,88.4,40.0,51.9,,,1.0,4.0,0.0,0.0,1.0,14.0,19.0,1.0,29.0,0.63,0.13,0.0,0.75,,,,,,
Defender,Eric Bailly,eric-bailly,606346,24/25,12,627,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,3.0,278.0,87.7,14.0,38.9,,,0.0,2.0,1.0,0.0,1.0,12.0,6.0,2.0,11.0,0.32,0.05,0.0,0.37,,,,,,
Midfielder,Alejandro Baena,alejandro-baena,910031,23/24,44,3067,5.0,17.0,,86.0,33.0,11.0,107.0,22.0,33.0,981.0,78.2,72.0,57.6,72.0,33.5,2.0,15.0,1.0,0.0,36.0,38.0,19.0,25.0,11.0,9.18,10.92,22.0,20.09,,,,,,
Midfielder,Alejandro Baena,alejandro-baena,910031,24/25,29,2295,6.0,8.0,,59.0,16.0,5.0,88.0,18.0,19.0,695.0,74.0,59.0,54.1,63.0,33.2,3.0,9.0,0.0,0.0,25.0,27.0,21.0,18.0,16.0,6.2,11.44,14.0,17.64,,,,,,
Defender,Pau Navarro,pau-navarro,1525863,24/25,18,1029,0.0,0.0,,2.0,0.0,1.0,0.0,0.0,3.0,503.0,89.5,22.0,50.0,0.0,,0.0,2.0,0.0,0.0,22.0,27.0,15.0,0.0,9.0,0.31,0.14,0.0,0.45,,,,,,
Goalkeeper,Diego Conde,diego-conde,951008,23/24,40,3518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,26.0,78.0,75.0,0.0,
Goalkeeper,Diego Conde,diego-conde,951008,24/25,21,1873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,31.0,59.0,65.6,0.0,
Goalkeeper,Luiz Junior,luiz-junior,1066603,23/24,34,3060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,41.0,114.0,73.5,3.0,37.5
Goalkeeper,Luiz Junior,luiz-junior,1066603,24/25,17,1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,18.0,44.0,71.0,0.0,
Defender,Sergi Cardona,sergi-cardona,986245,23/24,36,2906,1.0,2.0,,28.0,5.0,2.0,39.0,4.0,18.0,1506.0,82.7,35.0,29.9,16.0,17.2,7.0,10.0,0.0,0.0,42.0,91.0,46.0,11.0,54.0,2.67,3.66,3.0,6.33,,,,,,
Defender,Sergi Cardona,sergi-cardona,986245,24/25,33,2819,1.0,7.0,,20.0,6.0,5.0,45.0,10.0,10.0,845.0,79.6,34.0,31.8,30.0,28.3,3.0,11.0,0.0,0.0,28.0,67.0,34.0,5.0,42.0,2.46,4.26,8.0,6.72,,,,,,
Forward,Ayoze Perez,ayoze-perez,345195,23/24,38,2680,11.0,2.0,,80.0,31.0,13.0,36.0,7.0,57.0,679.0,79.6,11.0,50.0,2.0,9.5,5.0,5.0,0.0,0.0,33.0,66.0,23.0,19.0,21.0,8.77,3.14,13.0,11.92,,,,,,
Forward,Ayoze Perez,ayoze-perez,345195,24/25,29,1853,19.0,4.0,,76.0,30.0,11.0,30.0,5.0,34.0,304.0,77.2,9.0,52.9,6.0,40.0,1.0,4.0,0.0,0.0,16.0,24.0,8.0,19.0,13.0,11.16,1.8,23.0,12.96,,,,,,
Midfielder,Ilias Akhomach,ilias-akhomach,1089108,23/24,40,2179,3.0,5.0,,44.0,11.0,2.0,32.0,9.0,92.0,551.0,83.0,10.0,50.0,13.0,27.1,1.0,5.0,0.0,0.0,18.0,43.0,19.0,16.0,8.0,3.4,3.28,8.0,6.68,,,,,,
Midfielder,Ilias Akhomach,ilias-akhomach,1089108,24/25,12,615,1.0,0.0,,17.0,6.0,0.0,9.0,1.0,19.0,137.0,80.6,8.0,88.9,3.0,16.7,0.0,1.0,0.0,0.0,6.0,13.0,3.0,3.0,7.0,0.57,1.69,1.0,2.26,,,,,,
Midfielder,Yéremy Pino,yeremy-pino,984624,23/24,10,622,0.0,0.0,,9.0,4.0,1.0,7.0,0.0,9.0,163.0,82.3,7.0,63.6,3.0,42.9,0.0,5.0,0.0,0.0,10.0,27.0,7.0,2.0,9.0,1.42,0.61,0.0,2.04,,,,,,
Midfielder,Yéremy Pino,yeremy-pino,984624,24/25,31,1735,3.0,7.0,,27.0,7.0,5.0,37.0,9.0,22.0,458.0,77.9,11.0,52.4,9.0,18.0,0.0,10.0,0.0,0.0,28.0,53.0,9.0,12.0,11.0,3.31,3.27,10.0,6.58,,,,,,
Defender,Juan Foyth,juan-foyth,873189,23/24,16,1321,1.0,1.0,,8.0,3.0,1.0,6.0,1.0,20.0,638.0,84.7,33.0,54.1,2.0,10.0,1.0,2.0,0.0,0.0,15.0,29.0,15.0,3.0,27.0,0.45,0.93,2.0,1.37,,,,,,
Defender,Juan Foyth,juan-foyth,873189,24/25,16,1256,1.0,0.0,,14.0,3.0,3.0,7.0,0.0,3.0,669.0,86.7,53.0,53.0,2.0,50.0,3.0,4.0,0.0,1.0,5.0,23.0,17.0,3.0,35.0,2.23,0.88,1.0,3.11,,,,,,
Defender,Raul Albiol,raul-albiol,3041,23/24,30,2229,0.0,1.0,,7.0,1.0,0.0,4.0,3.0,0.0,1219.0,86.7,92.0,48.7,,,3.0,7.0,0.0,0.0,9.0,26.0,18.0,2.0,50.0,0.47,0.62,1.0,1.1,,,,,,
Defender,Raul Albiol,raul-albiol,3041,24/25,16,1212,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,734.0,89.3,44.0,45.4,,,1.0,4.0,0.0,0.0,4.0,10.0,6.0,2.0,31.0,0.1,0.13,0.0,0.23,,,,,,
Defender,Willy Kambwala,kambwala-willy,1136721,24/25,17,1103,0.0,0.0,,4.0,1.0,0.0,1.0,0.0,3.0,490.0,88.8,39.0,47.6,,,1.0,1.0,1.0,1.0,2.0,16.0,10.0,1.0,15.0,0.32,0.08,0.0,0.4,,,,,,
Forward,Gerard Moreno,gerard-moreno,146866,23/24,37,2604,11.0,7.0,,76.0,27.0,10.0,66.0,11.0,49.0,910.0,79.1,66.0,69.5,8.0,24.2,1.0,1.0,0.0,0.0,17.0,31.0,11.0,19.0,32.0,11.87,5.08,18.0,16.94,,,,,,
Forward,Gerard Moreno,gerard-moreno,146866,24/25,15,715,3.0,1.0,,26.0,12.0,1.0,15.0,5.0,13.0,209.0,77.7,19.0,65.5,3.0,30.0,0.0,0.0,0.0,0.0,8.0,8.0,3.0,5.0,16.0,4.15,1.71,4.0,5.86,,,,,,
